Fecha;Hora;Sistema;ETD;Detector;0-50 (km/h);50-80 (km/h);80-120 (km/h);120-255 (km/h);Velocidad media (km/h);0-6 (m);6-999 (m);Vehículos totales;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 248-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 13,200, GI-20 pk 13,800;Lento USURBIL, AP-8;0;4;25;0;95,17;28;1;29;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 248-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 13,200, GI-20 pk 13,800;Lento ERRENTERIA AP-8;0;4;16;0;93;18;2;20;
2025-10-13;01:00:00 - 01:30:00;GI-2632;[GI-2632] 87-ETD BIZKAIA-BEASAIN, GI-2632 pk 5,900, GI-2632 pk 9,700;Lento BEASAIN;0;1;0;0;65;1;0;1;
2025-10-13;01:00:00 - 01:30:00;GI-2632;[GI-2632] 87-ETD BIZKAIA-BEASAIN, GI-2632 pk 5,900, GI-2632 pk 9,700;Lento BIZKAIA;0;1;0;0;65;1;0;1;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 3-ETD PASAIA-IRUN, GI-636 pk 7,900, GI-636 pk 9,600;Lento IRUN;0;9;3;0;73,75;10;2;12;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 3-ETD PASAIA-IRUN, GI-636 pk 7,900, GI-636 pk 9,600;Rápido IRUN;0;0;0;0;0,0;0;0;0;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 3-ETD PASAIA-IRUN, GI-636 pk 7,900, GI-636 pk 9,600;Central IRUN;0;5;8;1;90,36;12;2;14;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 3-ETD PASAIA-IRUN, GI-636 pk 7,900, GI-636 pk 9,600;Central PASAIA;0;9;19;1;90,52;27;2;29;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 3-ETD PASAIA-IRUN, GI-636 pk 7,900, GI-636 pk 9,600;Lento PASAIA;0;6;5;0;80,91;9;2;11;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 250-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 10,900, GI-20 pk 13,200;Rápido USURBIL, AP-8;0;0;11;0;100;11;0;11;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 250-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 10,900, GI-20 pk 13,200;Lento ERRENTERIA AP-8;0;17;18;0;83;31;4;35;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 250-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 10,900, GI-20 pk 13,200;Central ERRENTERIA AP-8;0;4;16;0;93;18;2;20;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 250-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 10,900, GI-20 pk 13,200;Central USURBIL, AP-8;0;4;25;0;95,17;28;1;29;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 250-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 10,900, GI-20 pk 13,200;Lento USURBIL, AP-8;0;25;13;0;76,97;34;4;38;
2025-10-13;01:00:00 - 01:30:00;GI-627;[GI-627] 112-ETD ARABA-EIBAR, GI-627 pk 27,200, GI-627 pk 37,000;Lento ARABA;0;1;1;0;82,5;2;0;2;
2025-10-13;01:00:00 - 01:30:00;GI-627;[GI-627] 112-ETD ARABA-EIBAR, GI-627 pk 27,200, GI-627 pk 37,000;Lento EIBAR;0;2;1;0;76,67;3;0;3;
2025-10-13;01:00:00 - 01:30:00;A-15;[A-15] 69-ETD SAN SEBASTIÁN-ANDOAIN, A-15 pk 167,000, A-15 pk 169,300;Central SAN SEBASTIÁN;0;5;47;9;103,03;36;25;61;
2025-10-13;01:00:00 - 01:30:00;A-15;[A-15] 69-ETD SAN SEBASTIÁN-ANDOAIN, A-15 pk 167,000, A-15 pk 169,300;Lento SAN SEBASTIÁN;0;0;6;0;100;5;1;6;
